year,world_gtco2,region,emissions_gtco2,pct_share
2002,26.276868728392017,India,1.032139757359928,3.927940456028182
2002,26.276868728392017,United States,5.946308144551857,22.629439626217344
2002,26.276868728392017,European Union,3.6576533652243435,13.919669816945381
2002,26.276868728392017,Rest of World,11.53772110765989,43.908280042490155
2003,27.669489789266514,China,4.8411186896,17.496234034203102
2003,27.669489789266514,India,1.0677369737321587,3.8588965024803343
2003,27.669489789266514,United States,6.010145462850155,21.721200891754776
2003,27.669489789266514,European Union,3.7364420095978788,13.503834143871027
2003,27.669489789266514,Rest of World,12.01404665348632,43.41983442769076
2004,28.632505929420237,China,5.217350872588011,18.2217752279486
2004,28.632505929420237,India,1.1338276029906567,3.959931435221098
2004,28.632505929420237,United States,6.112654584187942,21.34865386653816
2004,28.632505929420237,European Union,3.7438097084763005,13.075382635752785
2004,28.632505929420237,Rest of World,12.424863161177326,43.394256834539355
2005,29.61439409933834,China,5.882106218859989,19.86232167752306
2005,29.61439409933834,India,1.19459241251848,4.03382358089565
2005,29.61439409933834,United States,6.132183270219091,20.70676593837893
2005,29.61439409933834,European Union,3.735484568605513,12.613746396685432
2005,29.61439409933834,Rest of World,12.670027629135268,42.78334240651693
2006,30.628396101337906,China,6.494330723336002,21.203626536135587
2006,30.628396101337906,India,1.292484616288268,4.219889974035597
2006,30.628396101337906,United States,6.052686214908383,19.761681920536446
2006,30.628396101337906,European Union,3.7524866854673236,12.251659123944163
2006,30.628396101337906,Rest of World,13.03640786133793,42.563142445348205
2007,31.534644030383014,China,6.983547409235989,22.145635772858185
2007,31.534644030383014,India,1.3925060081872163,4.415797453890915
2007,31.534644030383014,United States,6.130122759520679,19.4393275967042
2007,31.534644030383014,European Union,3.7024518114826273,11.740902506828323
2007,31.534644030383014,Rest of World,13.326016041956505,42.25833666971839
2008,32.074198560429096,China,7.501497553569674,23.38795009776019
2008,32.074198560429096,India,1.4894375026314186,4.643724767823139
2008,32.074198560429096,United States,5.915118465170846,18.44198368363444
2008,32.074198560429096,European Union,3.6259255021458676,11.304804686902703
2008,32.074198560429096,Rest of World,13.54221953691129,42.22153676387953
2009,31.54192194312371,China,7.891078304928004,25.017747235432164
2009,31.54192194312371,India,1.6122163394002487,5.1113446489005705
2009,31.54192194312371,United States,5.480725731474383,17.376004358127602
2009,31.54192194312371,European Union,3.3305508380300908,10.559124596261855
2009,31.54192194312371,Rest of World,13.227350729290984,41.9357791612778
2010,33.35590344252027,China,8.620575738494313,25.84422800404584
2010,33.35590344252027,India,1.6773371961016326,5.028606702235069
2010,33.35590344252027,United States,5.679715248584084,17.027616290985826
2010,33.35590344252027,European Union,3.424056363578412,10.265218477679166
2010,33.35590344252027,Rest of World,13.95421889576183,41.834330525054106
2011,34.504538119267394,China,9.532332109920082,27.62631418792188
2011,34.504538119267394,India,1.7647124191032093,5.114435709886494
2011,34.504538119267394,United States,5.546116067320566,16.073584431560917
2011,34.504538119267394,European Union,3.3268338915166598,9.641728517035125
2011,34.504538119267394,Rest of World,14.334543631406877,41.543937153595586
2012,35.00002034314161,China,9.779292069088132,27.94081824299403
2012,35.00002034314161,India,1.9256997187372702,5.501995998452665
2012,35.00002034314161,United States,5.3440859797277644,15.26880821020711
2012,35.00002034314161,European Union,3.2575761317913483,9.307354966808422
2012,35.00002034314161,Rest of World,14.69336644379709,41.98102258153777
2013,35.30165584461887,China,9.956328870459307,28.203574682962014
2013,35.30165584461887,India,1.9950981112364767,5.651570906526174
2013,35.30165584461887,United States,5.480156536706715,15.523794580140269
2013,35.30165584461887,European Union,3.175109731909482,8.994223233847181
2013,35.30165584461887,Rest of World,14.694962594306888,41.626836596524356
2014,35.450094746040755,China,9.990257301420854,28.181186462235384
2014,35.450094746040755,India,2.148343713570936,6.0601917398567
2014,35.450094746040755,United States,5.528681067176277,15.595673599134027
2014,35.450094746040755,European Union,3.0384102985547354,8.570951136580758
2014,35.450094746040755,Rest of World,14.744402365317955,41.59199706219314
2015,35.40489697074173,China,9.863456795781795,27.859018496601927
2015,35.40489697074173,India,2.234219516899492,6.310481622770515
2015,35.40489697074173,United States,5.376473124678936,15.185676515658278
2015,35.40489697074173,European Union,3.094753598116276,8.74103263363187
2015,35.40489697074173,Rest of World,14.83599393526523,41.9037907313374
2016,35.41665607605177,China,9.76271369159694,27.565317489694756
2016,35.41665607605177,India,2.3546579778063594,6.648448043062272
2016,35.41665607605177,United States,5.252932175086567,14.831812929506135
2016,35.41665607605177,European Union,3.0932822891852387,8.733976134118633
2016,35.41665607605177,Rest of World,14.953069942376668,42.22044540361821
2017,35.98989787626001,China,10.006342971143296,27.803199124229174
2017,35.98989787626001,India,2.426606901535501,6.742466760752222
2017,35.98989787626001,United States,5.212162345481302,14.482292679467138
2017,35.98989787626001,European Union,3.117226044927285,8.66139174844255
2017,35.98989787626001,Rest of World,15.227559613172623,42.31064968710891
2018,36.730426557362776,China,10.332992388773533,28.131969479407637
2018,36.730426557362776,India,2.593057866598569,7.059699844620451
